@age-5-6|5–6岁字库|最常用的小词和身边的字：我们、什么、是不是、有没有……认识它们就能开始读句子
轻和重|⚖️|轻:很轻 重:很重 软:软软 硬:硬硬 深:很深 浅:很浅 宽:很宽 厚:很厚 细:细细 粗:粗粗
好和坏|👍|坏:坏人 容:容易 易:容易 净:干净 脏:脏脏 乱:乱乱 忙:很忙 全:安全 奇:奇怪 怪:奇怪
天气（二）|🌤️|晴:晴天 阴:阴天 雾:大雾 露:露水 温:温暖 暖:暖和 凉:凉快 季:季节 节:节日 刮:刮风
一起来|🤝|共:一共 齐:整齐 排:排队 队:排队 组:小组 伴:伙伴 伙:伙伴 互:互相 合:合作 赛:比赛
中国|🇨🇳|国:中国 华:中华 世:世界 界:世界 英:英语 语:汉语 汉:汉语 乡:家乡 民:农民 农:农民
因为所以|🔗|为:因为 因:因为 所:所以 如:如果 但:但是 虽:虽然 然:然后 而:而且 且:而且 或:或者
当然|✅|当:当然 定:一定 正:正好 特:特别 别:别动 非:非常 更:更好 其:其他 另:另外 各:各种
@age-6-7|6–7岁字库|上学前后常用的字，学完累计 1000 字，可以自己读简单的书
山川河流|🏔️|坡:山坡 谷:山谷 原:草原 平:平原 漠:沙漠 岸:河岸 流:河流 滴:水滴 泡:泡泡 池:水池
天空|🌅|晨:早晨 昏:黄昏 影:影子 闪:闪闪 飘:飘飘 落:落下 降:下降 升:上升 宇:宇宙 宙:宇宙
动物（四）|🦅|蝴:蝴蝶 鹰:老鹰 鸦:乌鸦 豹:豹子 驴:小驴 鲸:鲸鱼 蚕:蚕宝宝 螺:田螺 蝌:蝌蚪 蚪:蝌蚪
动物的身体|🪶|翅:翅膀 膀:翅膀 尾:尾巴 巴:尾巴 角:牛角 爪:爪子 羽:羽毛 壳:贝壳 贝:贝壳 窝:鸟窝
亲人|👨‍👩‍👧|父:父亲 母:母亲 亲:亲人 兄:兄弟 姑:姑姑 舅:舅舅 伯:伯伯 孙:孙子 姥:姥姥 娘:姑娘
做家务|🧹|扫:扫地 擦:擦桌子 晒:晒太阳 收:收好 拾:收拾 叠:叠被子 倒:倒水 端:端茶 铺:铺床 整:整齐
文具|📏|尺:尺子 刷:牙刷 册:画册 墨:墨水 袋:口袋 夹:夹子 剪:剪刀 胶:胶水 篇:一篇 理:整理
上课了|🔔|级:年级 操:做操 铃:铃声 讲:讲故事 句:句子 词:词语 念:念书 查:查找 抄:抄写 默:默读
运动|🏀|投:投球 篮:篮球 奔:奔跑 泳:游泳 绳:跳绳 登:登山 胜:胜利 输:输了 赢:赢了 利:胜利
声音|🔔|喊:大喊 响:响声 吵:吵闹 闹:热闹 鸣:鸟鸣 啦:好啦 呀:哎呀 哦:哦哦 哈:哈哈 嘻:嘻嘻
眼耳口鼻|👀|眨:眨眼 瞧:瞧瞧 闻:闻闻 抬:抬头 低:低头 睁:睁眼 闭:闭眼 盯:盯着 咬:咬一口 吹:吹风
穿衣服|🧥|服:衣服 扣:扣子 领:领子 袖:袖子 装:服装 套:手套 戴:戴帽子 脱:脱衣服 换:换衣服 布:花布
厨房|🥟|炒:炒菜 蒸:蒸包子 煎:煎蛋 烧:烧水 盆:盆子 壶:水壶 酱:酱油 醋:醋 饺:饺子 粥:喝粥
水果蔬菜|🥕|苹:苹果 萝:萝卜 卜:萝卜 葡:葡萄 萄:葡萄 莓:草莓 蕉:香蕉 橘:橘子 茄:茄子 椒:辣椒
家电|📺|视:电视 脑:电脑 箱:冰箱 扇:电扇 梯:电梯 墙:墙上 台:台灯 线:电线 锁:门锁 钥:钥匙
好地方|🏛️|院:医院 馆:图书馆 厂:工厂 宫:故宫 塔:宝塔 广:广场 巷:小巷 区:小区 邮:邮局 银:银行
各种工作|👷|工:工人 警:警察 察:警察 厨:厨房 司:司机 员:队员 护:护士 士:护士 演:演员 职:职业
时间（二）|⏱️|秒:一秒 刻:一刻 期:星期 历:日历 始:开始 终:最终 结:结束 束:结束 未:未来 将:将来
周围|🧭|旁:旁边 围:周围 附:附近 内:内外 顶:头顶 底:底下 横:横线 竖:竖线 斜:斜线 圈:圆圈
算一算|➗|加:加法 减:减法 法:方法 于:等于 零:零 单:单数 计:计算 总:总共 倍:两倍 万:一万
好品格|🌟|勇:勇敢 敢:勇敢 诚:诚实 实:诚实 善:善良 良:善良 貌:礼貌 耐:耐心 努:努力 助:帮助
心情（二）|😤|愁:发愁 烦:烦恼 恼:烦恼 惊:吃惊 怒:发怒 满:满意 失:失望 骄:骄傲 傲:骄傲 慌:慌张
翻滚跌倒|🤸|丢:丢了 捉:捉迷藏 躲:躲起来 钻:钻洞 滚:滚动 翻:翻身 掉:掉下 摔:摔倒 碰:碰到 撞:撞到
种花种树|🌳|挖:挖土 浇:浇水 摘:摘花 采:采花 插:插花 栽:栽树 堆:堆雪人 挂:挂上 搭:搭积木 盖:盖房子
说一说|🗣️|告:告诉 诉:告诉 聊:聊天 谈:谈话 夸:夸奖 奖:奖励 劝:劝说 借:借书 许:允许 提:提问
长得怎么样|🪞|扁:扁扁 瘦:瘦瘦 矮:矮矮 丑:丑丑 漂:漂亮 聪:聪明 笨:笨笨 乖:乖乖 懒:懒懒 勤:勤劳
尝一尝|👅|臭:臭臭 咸:咸咸 淡:淡淡 鲜:新鲜 嫩:嫩嫩 脆:脆脆 烫:好烫 湿:湿湿 冻:冰冻 糊:糊了
过节|🏮|福:福字 笼:灯笼 舞:舞龙 庆:庆祝 祝:祝福 贺:祝贺 糕:蛋糕 蜡:蜡烛 烛:蜡烛 鞭:鞭炮
土和金|🪙|泥:泥土 尘:灰尘 潮:潮水 霞:晚霞 燃:燃烧 洒:洒水 冒:冒出 金:金子 铜:铜钱 玉:玉米
应该和必须|📌|该:应该 必:必须 需:需要 此:因此 并:并且 由:自由 何:任何 任:任何 随:随便 便:随便
好像|🔍|像:好像 似:好似 乎:几乎 较:比较 越:越来越 突:突然 忽:忽然 反:反正 除:除了 按:按时
城市里|🏙️|堵:堵车 通:交通 交:交通 挤:拥挤 标:路标 牌:路牌 号:号码 码:号码 邻:邻居 居:邻居
身体（四）|🦾|胸:胸口 脖:脖子 胳:胳膊 膊:胳膊 膝:膝盖 掌:手掌 拳:拳头 臂:手臂 汗:流汗 嗓:嗓子
生病了|🤒|咳:咳嗽 嗽:咳嗽 针:打针 健:健康 痛:头痛 痒:好痒 休:休息 息:休息 醒:醒来 梦:做梦
童话故事|🧚|神:神话 仙:神仙 王:国王 主:公主 险:冒险 巨:巨人 精:精灵 灵:精灵 童:童话 传:传说
动手做|🧵|造:建造 建:建造 修:修理 补:补衣服 拆:拆开 贴:贴纸 粘:粘住 折:折纸 缝:缝衣服 编:编织
买东西|🛍️|卖:买卖 钱:零钱 元:一元 购:购物 价:价钱 贵:很贵 宜:便宜 付:付钱 商:商店 称:称一称
一定会|🎯|使:使用 管:不管 假:假如 顺:顺便 否:是否 永:永远 确:确实 肯:肯定 准:准备 备:准备
想一想|🤔|猜:猜猜 盼:盼望 忆:回忆 决:决定 选:选择 择:选择 求:要求 惜:可惜 怜:可怜 愉:愉快
一朵一棵|🌸|部:部分 份:一份 层:一层 座:一座 棵:一棵 朵:一朵 颗:一颗 匹:一匹 群:一群 粒:一粒
